Z,N,BindingEnergy
56,95,1220.881362
56,96,1225.729713
56,97,1228.72439
57,60,946.316821
57,61,957.592483
57,62,970.861544
57,63,981.652829
57,64,994.437512
57,65,1004.651271
57,66,1016.886373
57,67,1026.55055
57,68,1038.21744
57,69,1047.499704
57,70,1058.561123
57,71,1067.293806
57,72,1077.954682
57,73,1086.352026
57,74,1096.481951
57,75,1104.553272
57,76,1114.217449
57,77,1122.204936
57,78,1131.691198
57,79,1139.130035
57,80,1148.30052
57,81,1155.77848
57,82,1164.556806
57,83,1169.717207
57,84,1176.406191
57,85,1181.574045
57,86,1187.79635
57,87,1192.578565
57,88,1198.740323
57,89,1203.029777
57,90,1209.126331
57,91,1213.127022
57,92,1219.167685
57,93,1223.32673
57,94,1228.612884
57,95,1232.445906
57,96,1237.406036
57,97,1240.86646
57,98,1245.463308
58,61,959.115517
58,62,972.887585
58,63,983.725445
58,64,997.069025
58,65,1007.469082
58,66,1020.188561
58,67,1030.104242
58,68,1042.311399
58,69,1051.640238
58,70,1063.325758
58,71,1072.123645
58,72,1083.362047
58,73,1091.684873
58,74,1102.485473
58,75,1110.500905
58,76,1120.919592
58,77,1128.882861
58,78,1138.82276
